,Name,Stock,Discount
0,Bottle,61,0.62
1,Bottle,45,0.59
2,Bottle,74,0.65
3,Bottle,27,0.55
4,Bottle,64,0.63
5,Bottle,17,0.53
6,Bottle,36,0.57
7,Bottle,17,0.53
8,Bottle,96,0.69
9,Bottle,12,0.52
10,Bottle,79,0.66
11,Bottle,32,0.56
12,Bottle,68,0.64
13,Bottle,90,0.68
14,Bottle,77,0.65
15,Bottle,18,0.54
16,Bottle,39,0.58
17,Bottle,12,0.52
18,Bottle,93,0.69
19,Bottle,9,0.52
20,Bottle,87,0.67
21,Bottle,42,0.58
22,Bottle,60,0.62
23,Bottle,71,0.64
24,Bottle,12,0.52
25,Bottle,45,0.59
26,Bottle,55,0.61
27,Bottle,40,0.58
28,Bottle,78,0.66
29,Bottle,81,0.66
30,Bottle,26,0.55
31,Bottle,70,0.64
32,Bottle,61,0.62
33,Bottle,56,0.61
34,Bottle,66,0.63
35,Bottle,33,0.57
36,Bottle,7,0.51
37,Bottle,70,0.64
38,Bottle,1,0.5
39,Bottle,11,0.52
40,Bottle,92,0.68
41,Bottle,51,0.6
42,Bottle,90,0.68
43,Bottle,100,0.7
44,Bottle,85,0.67
45,Bottle,80,0.66
46,Bottle,0,0.5
47,Bottle,78,0.66
48,Bottle,63,0.63
49,Bottle,42,0.58
50,Bottle,31,0.56
51,Bottle,93,0.69
52,Bottle,41,0.58
53,Bottle,90,0.68
54,Bottle,8,0.52
55,Bottle,24,0.55
56,Bottle,72,0.64
57,Bottle,28,0.56
58,Bottle,30,0.56
59,Bottle,18,0.54
60,Bottle,69,0.64
61,Bottle,57,0.61
62,Bottle,11,0.52
63,Bottle,10,0.52
64,Bottle,40,0.58
65,Bottle,65,0.63
66,Bottle,62,0.62
67,Bottle,13,0.53
68,Bottle,38,0.58
69,Bottle,70,0.64
70,Bottle,37,0.57
71,Bottle,90,0.68
72,Bottle,15,0.53
73,Bottle,70,0.64
74,Bottle,42,0.58
75,Bottle,69,0.64
76,Bottle,26,0.55
77,Bottle,77,0.65
78,Bottle,70,0.64
79,Bottle,75,0.65
80,Bottle,36,0.57
81,Bottle,56,0.61
82,Bottle,11,0.52
83,Bottle,76,0.65
84,Bottle,49,0.6
85,Bottle,40,0.58
86,Bottle,73,0.65
87,Bottle,30,0.56
88,Bottle,37,0.57
89,Bottle,23,0.55
90,Bottle,24,0.55
91,Bottle,23,0.55
92,Bottle,4,0.51
93,Bottle,78,0.66
94,Bottle,84,0.67
95,Bottle,33,0.57
96,Bottle,60,0.62
97,Bottle,8,0.52
98,Bottle,11,0.52
99,Bottle,86,0.67
100,Bottle,96,0.69
101,Bottle,16,0.53
102,Bottle,19,0.54
103,Bottle,4,0.51
104,Bottle,10,0.52
105,Bottle,89,0.68
106,Bottle,69,0.64
107,Bottle,87,0.67
108,Bottle,50,0.6
109,Bottle,90,0.68
110,Bottle,67,0.63
111,Bottle,35,0.57
112,Bottle,66,0.63
113,Bottle,30,0.56
114,Bottle,27,0.55
115,Bottle,86,0.67
116,Bottle,75,0.65
117,Bottle,53,0.61
118,Bottle,74,0.65
119,Bottle,35,0.57
120,Bottle,57,0.61
121,Bottle,63,0.63
122,Bottle,84,0.67
123,Bottle,82,0.66
124,Bottle,89,0.68
125,Bottle,45,0.59
126,Bottle,10,0.52
127,Bottle,41,0.58
128,Bottle,78,0.66
129,Bottle,14,0.53
130,Bottle,62,0.62
131,Bottle,75,0.65
132,Bottle,80,0.66
133,Bottle,42,0.58
134,Bottle,24,0.55
135,Bottle,31,0.56
136,Bottle,2,0.5
137,Bottle,93,0.69
138,Bottle,34,0.57
139,Bottle,14,0.53
140,Bottle,90,0.68
141,Bottle,28,0.56
142,Bottle,47,0.59
143,Bottle,21,0.54
144,Bottle,42,0.58
145,Bottle,54,0.61
146,Bottle,7,0.51
147,Bottle,12,0.52
148,Bottle,100,0.7
149,Bottle,18,0.54
150,Bottle,89,0.68
151,Bottle,28,0.56
152,Bottle,5,0.51
153,Bottle,73,0.65
154,Bottle,81,0.66
155,Bottle,68,0.64
156,Bottle,77,0.65
157,Bottle,87,0.67
158,Bottle,9,0.52
159,Bottle,3,0.51
160,Bottle,15,0.53
161,Bottle,81,0.66
162,Bottle,24,0.55
163,Bottle,77,0.65
164,Bottle,73,0.65
165,Bottle,15,0.53
166,Bottle,50,0.6
167,Bottle,11,0.52
168,Bottle,47,0.59
169,Bottle,14,0.53
170,Bottle,4,0.51
171,Bottle,77,0.65
172,Bottle,2,0.5
173,Bottle,24,0.55
174,Bottle,23,0.55
175,Bottle,91,0.68
176,Bottle,15,0.53
177,Bottle,61,0.62
178,Bottle,26,0.55
179,Bottle,93,0.69
180,Bottle,7,0.51
181,Bottle,86,0.67
182,Bottle,2,0.5
183,Bottle,69,0.64
184,Bottle,54,0.61
185,Bottle,79,0.66
186,Bottle,12,0.52
187,Bottle,33,0.57
188,Bottle,8,0.52
189,Bottle,28,0.56
190,Bottle,9,0.52
191,Bottle,82,0.66
192,Bottle,38,0.58
193,Bottle,44,0.59
194,Bottle,55,0.61
195,Bottle,23,0.55
196,Bottle,7,0.51
197,Bottle,64,0.63
198,Bottle,59,0.62
199,Bottle,5,0.51
200,Bottle,76,0.65
201,Bottle,12,0.52
202,Bottle,89,0.68
203,Bottle,50,0.6
204,Bottle,25,0.55
205,Bottle,33,0.57
206,Bottle,45,0.59
207,Bottle,93,0.69
208,Bottle,60,0.62
209,Bottle,72,0.64
210,Bottle,21,0.54
211,Bottle,89,0.68
212,Bottle,86,0.67
213,Bottle,26,0.55
214,Bottle,98,0.7
215,Bottle,7,0.51
216,Bottle,100,0.7
217,Bottle,86,0.67
218,Bottle,20,0.54
219,Bottle,20,0.54
220,Bottle,43,0.59
221,Bottle,67,0.63
222,Bottle,32,0.56
223,Bottle,15,0.53
224,Bottle,76,0.65
225,Bottle,56,0.61
226,Bottle,85,0.67
227,Bottle,22,0.54
228,Bottle,1,0.5
229,Bottle,60,0.62
230,Bottle,87,0.67
231,Bottle,52,0.6
232,Bottle,72,0.64
233,Bottle,65,0.63
234,Bottle,39,0.58
235,Bottle,83,0.67
236,Bottle,45,0.59
237,Bottle,49,0.6
238,Bottle,84,0.67
239,Bottle,32,0.56
240,Bottle,19,0.54
241,Bottle,71,0.64
242,Bottle,88,0.68
243,Bottle,1,0.5
244,Bottle,58,0.62
245,Bottle,94,0.69
246,Bottle,10,0.52
247,Bottle,42,0.58
248,Bottle,94,0.69
249,Bottle,5,0.51
250,Bottle,69,0.64
251,Bottle,35,0.57
252,Bottle,17,0.53
253,Bottle,30,0.56
254,Bottle,97,0.69
255,Bottle,61,0.62
256,Bottle,45,0.59
257,Bottle,78,0.66
258,Bottle,36,0.57
259,Bottle,86,0.67
260,Bottle,45,0.59
261,Bottle,75,0.65
262,Bottle,81,0.66
263,Bottle,79,0.66
264,Bottle,16,0.53
265,Bottle,91,0.68
266,Bottle,39,0.58
267,Bottle,49,0.6
268,Bottle,95,0.69
269,Bottle,53,0.61
270,Bottle,83,0.67
271,Bottle,10,0.52
272,Bottle,0,0.5
273,Bottle,76,0.65
274,Bottle,24,0.55
275,Bottle,89,0.68
276,Bottle,42,0.58
277,Bottle,20,0.54
278,Bottle,30,0.56
279,Bottle,28,0.56
280,Bottle,81,0.66
281,Bottle,57,0.61
282,Bottle,48,0.6
283,Bottle,90,0.68
284,Bottle,86,0.67
285,Bottle,72,0.64
286,Bottle,53,0.61
287,Bottle,4,0.51
288,Bottle,51,0.6
289,Bottle,89,0.68
290,Bottle,72,0.64
291,Bottle,53,0.61
292,Bottle,98,0.7
293,Bottle,84,0.67
294,Bottle,90,0.68
295,Bottle,5,0.51
296,Bottle,21,0.54
297,Bottle,57,0.61
298,Bottle,8,0.52
299,Bottle,33,0.57
300,Bottle,89,0.68
301,Bottle,20,0.54
302,Bottle,57,0.61
303,Bottle,67,0.63
304,Bottle,62,0.62
305,Bottle,71,0.64
306,Bottle,77,0.65
307,Bottle,96,0.69
308,Bottle,0,0.5
309,Bottle,4,0.51
310,Bottle,63,0.63
311,Bottle,41,0.58
312,Bottle,39,0.58
313,Bottle,59,0.62
314,Bottle,6,0.51
315,Bottle,53,0.61
316,Bottle,24,0.55
317,Bottle,70,0.64
318,Bottle,81,0.66
319,Bottle,10,0.52
320,Bottle,92,0.68
321,Bottle,16,0.53
322,Bottle,1,0.5
323,Bottle,51,0.6
324,Bottle,86,0.67
325,Bottle,53,0.61
326,Bottle,40,0.58
327,Bottle,0,0.5
328,Bottle,27,0.55
329,Bottle,1,0.5
330,Bottle,91,0.68
331,Bottle,96,0.69
332,Bottle,0,0.5
333,Bottle,86,0.67
334,Bottle,67,0.63
335,Bottle,78,0.66
336,Bottle,12,0.52
337,Bottle,24,0.55
338,Bottle,15,0.53
339,Bottle,77,0.65
340,Bottle,83,0.67
341,Bottle,25,0.55
342,Bottle,38,0.58
343,Bottle,35,0.57
344,Bottle,88,0.68
345,Bottle,23,0.55
346,Bottle,12,0.52
347,Bottle,60,0.62
348,Bottle,50,0.6
349,Bottle,80,0.66
350,Bottle,10,0.52
351,Bottle,2,0.5
352,Bottle,35,0.57
353,Bottle,57,0.61
354,Bottle,14,0.53
355,Bottle,32,0.56
356,Bottle,17,0.53
357,Bottle,83,0.67
358,Bottle,66,0.63
359,Bottle,83,0.67
360,Bottle,82,0.66
361,Bottle,44,0.59
362,Bottle,14,0.53
363,Bottle,19,0.54
364,Bottle,35,0.57
365,Bottle,2,0.5
366,Bottle,5,0.51
367,Bottle,5,0.51
368,Bottle,26,0.55
369,Bottle,87,0.67
370,Bottle,33,0.57
371,Bottle,71,0.64
372,Bottle,40,0.58
373,Bottle,46,0.59
374,Bottle,72,0.64
375,Bottle,5,0.51
376,Bottle,95,0.69
377,Bottle,89,0.68
378,Bottle,77,0.65
379,Bottle,83,0.67
380,Bottle,63,0.63
381,Bottle,91,0.68
382,Bottle,82,0.66
383,Bottle,58,0.62
384,Bottle,81,0.66
385,Bottle,55,0.61
386,Bottle,47,0.59
387,Bottle,68,0.64
388,Bottle,22,0.54
389,Bottle,26,0.55
390,Bottle,48,0.6
391,Bottle,75,0.65
392,Bottle,37,0.57
393,Bottle,1,0.5
394,Bottle,17,0.53
395,Bottle,19,0.54
396,Bottle,34,0.57
397,Bottle,42,0.58
398,Bottle,43,0.59
399,Bottle,47,0.59
400,Pen,735,0.87
401,Pen,95,0.55
402,Pen,346,0.67
403,Pen,798,0.9
404,Pen,635,0.82
405,Pen,36,0.52
406,Pen,42,0.52
407,Pen,276,0.64
408,Pen,167,0.58
409,Pen,153,0.58
410,Pen,597,0.8
411,Pen,296,0.65
412,Pen,369,0.68
413,Pen,404,0.7
414,Pen,561,0.78
415,Pen,132,0.57
416,Pen,300,0.65
417,Pen,117,0.56
418,Pen,489,0.74
419,Pen,748,0.87
420,Pen,245,0.62
421,Pen,956,0.98
422,Pen,49,0.52
423,Pen,315,0.66
424,Pen,183,0.59
425,Pen,877,0.94
426,Pen,535,0.77
427,Pen,746,0.87
428,Pen,72,0.54
429,Pen,309,0.65
430,Pen,412,0.71
431,Pen,855,0.93
432,Pen,336,0.67
433,Pen,306,0.65
434,Pen,424,0.71
435,Pen,111,0.56
436,Pen,101,0.55
437,Pen,574,0.79
438,Pen,930,0.97
439,Pen,492,0.75
440,Pen,485,0.74
441,Pen,345,0.67
442,Pen,861,0.93
443,Pen,817,0.91
444,Pen,999,1.0
445,Pen,831,0.92
446,Pen,351,0.68
447,Pen,127,0.56
448,Pen,490,0.74
449,Pen,118,0.56
450,Pen,716,0.86
451,Pen,509,0.75
452,Pen,436,0.72
453,Pen,38,0.52
454,Pen,309,0.65
455,Pen,343,0.67
