,Name,Stock,Discount
0,Bottle,61,0.12
1,Bottle,45,0.09
2,Bottle,74,0.15
3,Bottle,27,0.05
4,Bottle,64,0.13
5,Bottle,17,0.03
6,Bottle,36,0.07
7,Bottle,17,0.03
8,Bottle,96,0.19
9,Bottle,12,0.02
10,Bottle,79,0.16
11,Bottle,32,0.06
12,Bottle,68,0.14
13,Bottle,90,0.18
14,Bottle,77,0.15
15,Bottle,18,0.04
16,Bottle,39,0.08
17,Bottle,12,0.02
18,Bottle,93,0.19
19,Bottle,9,0.02
20,Bottle,87,0.17
21,Bottle,42,0.08
22,Bottle,60,0.12
23,Bottle,71,0.14
24,Bottle,12,0.02
25,Bottle,45,0.09
26,Bottle,55,0.11
27,Bottle,40,0.08
28,Bottle,78,0.16
29,Bottle,81,0.16
30,Bottle,26,0.05
31,Bottle,70,0.14
32,Bottle,61,0.12
33,Bottle,56,0.11
34,Bottle,66,0.13
35,Bottle,33,0.07
36,Bottle,7,0.01
37,Bottle,70,0.14
38,Bottle,1,0.0
39,Bottle,11,0.02
40,Bottle,92,0.18
41,Bottle,51,0.1
42,Bottle,90,0.18
43,Bottle,100,0.2
44,Bottle,85,0.17
45,Bottle,80,0.16
46,Bottle,0,0.0
47,Bottle,78,0.16
48,Bottle,63,0.13
49,Bottle,42,0.08
50,Bottle,31,0.06
51,Bottle,93,0.19
52,Bottle,41,0.08
53,Bottle,90,0.18
54,Bottle,8,0.02
55,Bottle,24,0.05
56,Bottle,72,0.14
57,Bottle,28,0.06
58,Bottle,30,0.06
59,Bottle,18,0.04
60,Bottle,69,0.14
61,Bottle,57,0.11
62,Bottle,11,0.02
63,Bottle,10,0.02
64,Bottle,40,0.08
65,Bottle,65,0.13
66,Bottle,62,0.12
67,Bottle,13,0.03
68,Bottle,38,0.08
69,Bottle,70,0.14
70,Bottle,37,0.07
71,Bottle,90,0.18
72,Bottle,15,0.03
73,Bottle,70,0.14
74,Bottle,42,0.08
75,Bottle,69,0.14
76,Bottle,26,0.05
77,Bottle,77,0.15
78,Bottle,70,0.14
79,Bottle,75,0.15
80,Bottle,36,0.07
81,Bottle,56,0.11
82,Bottle,11,0.02
83,Bottle,76,0.15
84,Bottle,49,0.1
85,Bottle,40,0.08
86,Bottle,73,0.15
87,Bottle,30,0.06
88,Bottle,37,0.07
89,Bottle,23,0.05
90,Bottle,24,0.05
91,Bottle,23,0.05
92,Bottle,4,0.01
93,Bottle,78,0.16
94,Bottle,84,0.17
95,Bottle,33,0.07
96,Bottle,60,0.12
97,Bottle,8,0.02
98,Bottle,11,0.02
99,Bottle,86,0.17
100,Bottle,96,0.19
101,Bottle,16,0.03
102,Bottle,19,0.04
103,Bottle,4,0.01
104,Bottle,10,0.02
105,Bottle,89,0.18
106,Bottle,69,0.14
107,Bottle,87,0.17
108,Bottle,50,0.1
109,Bottle,90,0.18
110,Bottle,67,0.13
111,Bottle,35,0.07
112,Bottle,66,0.13
113,Bottle,30,0.06
114,Bottle,27,0.05
115,Bottle,86,0.17
116,Bottle,75,0.15
117,Bottle,53,0.11
118,Bottle,74,0.15
119,Bottle,35,0.07
120,Bottle,57,0.11
121,Bottle,63,0.13
122,Bottle,84,0.17
123,Bottle,82,0.16
124,Bottle,89,0.18
125,Bottle,45,0.09
126,Bottle,10,0.02
127,Bottle,41,0.08
128,Bottle,78,0.16
129,Bottle,14,0.03
130,Bottle,62,0.12
131,Bottle,75,0.15
132,Bottle,80,0.16
133,Bottle,42,0.08
134,Bottle,24,0.05
135,Bottle,31,0.06
136,Bottle,2,0.0
137,Bottle,93,0.19
138,Bottle,34,0.07
139,Bottle,14,0.03
140,Bottle,90,0.18
141,Bottle,28,0.06
142,Bottle,47,0.09
143,Bottle,21,0.04
144,Bottle,42,0.08
145,Bottle,54,0.11
146,Bottle,7,0.01
147,Bottle,12,0.02
148,Bottle,100,0.2
149,Bottle,18,0.04
150,Bottle,89,0.18
151,Bottle,28,0.06
152,Bottle,5,0.01
153,Bottle,73,0.15
154,Bottle,81,0.16
155,Bottle,68,0.14
156,Bottle,77,0.15
157,Bottle,87,0.17
158,Bottle,9,0.02
159,Bottle,3,0.01
160,Bottle,15,0.03
161,Bottle,81,0.16
162,Bottle,24,0.05
163,Bottle,77,0.15
164,Bottle,73,0.15
165,Bottle,15,0.03
166,Bottle,50,0.1
167,Bottle,11,0.02
168,Bottle,47,0.09
169,Bottle,14,0.03
170,Bottle,4,0.01
171,Bottle,77,0.15
172,Bottle,2,0.0
173,Bottle,24,0.05
174,Bottle,23,0.05
175,Bottle,91,0.18
176,Bottle,15,0.03
177,Bottle,61,0.12
178,Bottle,26,0.05
179,Bottle,93,0.19
180,Bottle,7,0.01
181,Bottle,86,0.17
182,Bottle,2,0.0
183,Bottle,69,0.14
184,Bottle,54,0.11
185,Bottle,79,0.16
186,Bottle,12,0.02
